timestamp,coin,price_usd
2026-03-13T16:45:31.237424+00:00,bitcoin,71858.0
2026-03-13T16:45:31.237424+00:00,ethereum,2132.46
2026-03-14T14:08:41.089518+00:00,bitcoin,70926.0
2026-03-14T14:08:41.089518+00:00,ethereum,2079.28
2026-03-15T15:57:36.115569+00:00,bitcoin,71504.0
2026-03-15T15:57:36.115569+00:00,ethereum,2094.86
